coef	HR	CI_lower	CI_upper	p	HR_CI
Age	0.0987120276743163	1.10374840479353	1.08684866724079	1.12091092145984	4.55530472427788e-36	1.10 (1.09–1.12)
BodyMassIndex	0.0881374265752646	1.09213820052819	1.06405768654601	1.12095976010918	3.31150412509177e-11	1.09 (1.06–1.12)
SystolicBP	0.00814025339198189	1.00817347533846	1.00214492393614	1.01423829238574	0.00780938543759858	1.01 (1.00–1.01)
NonHDLcholesterol	-0.0530082563366146	0.948372182370001	0.837831843922862	1.07349679153046	0.40183508027252	0.95 (0.84–1.07)
Sex	0.332247189121622	1.39409741163927	1.08647008894001	1.788827518515	0.00900159268431649	1.39 (1.09–1.79)
Smoking	0.45244646718219	1.57215370694546	1.14057503594878	2.16703610052829	0.00572126873244649	1.57 (1.14–2.17)
BPTreatment	0.39010366770464	1.47713391702817	1.13920816183155	1.91529931222315	0.00324647010313094	1.48 (1.14–1.92)
PrevalentDiabetes	0.676844259586496	1.9676585047945	1.40953465972206	2.74677884987486	6.98353459298966e-05	1.97 (1.41–2.75)
PrevalentCHD	0.638281520697253	1.89322461487868	1.18012269708108	3.03722608780252	0.00812639684399858	1.89 (1.18–3.04)
Observed	-0.000174814112596999	0.9998252011665	0.999556599144928	1.00009387536712	0.202227326692675	1.00 (1.00–1.00)
cluster_5	0.0663823393190523	1.06863522033006	0.734094930694998	1.55563154897245	0.728969205676684	1.07 (0.73–1.56)
cluster_6	-0.292777026850993	0.746188502149541	0.523382809215784	1.06384327290852	0.105665739528295	0.75 (0.52–1.06)
cluster_7	-0.31408194464998	0.730459168485982	0.535397185137984	0.996588349054766	0.0475283842349153	0.73 (0.54–1.00)
cluster_12	-0.00533927016441358	0.994674958403877	0.761511869828573	1.29922895765036	0.968748102970582	0.99 (0.76–1.30)
cluster_13	-0.607927418612489	0.544478175786549	0.410078911792843	0.722925455034389	2.63077803571146e-05	0.54 (0.41–0.72)
cluster_16	0.197272832315251	1.21807632595893	0.888552092648447	1.66980636041182	0.220280236025751	1.22 (0.89–1.67)
cluster_18	-0.119010199185565	0.88779874589162	0.681264538520034	1.1569464850159	0.378366613068706	0.89 (0.68–1.16)
