coef	HR	CI_lower	CI_upper	p	HR_CI
Age	0.0991397286686086	1.10422058005143	1.08711994009308	1.12159021690349	1.40190154246648e-35	1.10 (1.09–1.12)
BodyMassIndex	0.0856086632166029	1.08937993044011	1.06075121812326	1.11878130571027	2.9651363137816e-10	1.09 (1.06–1.12)
Smoking	0.443191324505028	1.55767032633847	1.12404763978447	2.15857118477703	0.00775621787964036	1.56 (1.12–2.16)
BPTreatment	0.401507033425831	1.49407462225607	1.15050816994409	1.94023739699136	0.00259832986584198	1.49 (1.15–1.94)
PrevalentDiabetes	0.669367604068418	1.95300185959647	1.38777365151421	2.74844262926128	0.00012309317953924	1.95 (1.39–2.75)
PrevalentCHD	0.646642351441826	1.90911990175217	1.18327295728714	3.08021811604857	0.0080606319904324	1.91 (1.18–3.08)
SystolicBP	0.00793875049444051	1.00797034592823	1.00188076414501	1.01409694110428	0.0102359936081799	1.01 (1.00–1.01)
NonHDLcholesterol	-0.0589365786318617	0.942766558806103	0.831696088805378	1.06867015051106	0.356771994338056	0.94 (0.83–1.07)
Sex	0.289693497983001	1.33601793307274	1.03131753397862	1.73074136595544	0.0282719741294452	1.34 (1.03–1.73)
disbiosis	-0.000780158336524583	0.999220145907866	0.99531205897972	1.00314357791628	0.696390092391559	1.00 (1.00–1.00)
Observed	-0.000140645237726633	0.999859364652351	0.99957153598549	1.00014727620006	0.338331991930348	1.00 (1.00–1.00)
Shannon	-0.15791122067214	0.853925589543241	0.578201350737911	1.26113318750668	0.427332787260183	0.85 (0.58–1.26)
cluster_4	0.0404204631762663	1.04124848881139	0.786820513823743	1.37794884144934	0.777356277202394	1.04 (0.79–1.38)
cluster_5	0.116875463422463	1.12397944442084	0.716789547605115	1.76248355699596	0.610591678444581	1.12 (0.72–1.76)
cluster_6	-0.34843666420437	0.705790615418522	0.475747021957859	1.04706991283485	0.0833733708446278	0.71 (0.48–1.05)
cluster_7	-0.302935379106108	0.738646826846494	0.517037245440839	1.055241454308	0.0960025354572827	0.74 (0.52–1.06)
cluster_8	0.0387081877553138	1.03946711015757	0.767477123486718	1.40784896387602	0.802512529612861	1.04 (0.77–1.41)
cluster_9	0.00346656508701277	1.00347258057278	0.771049307993295	1.30595697255998	0.979426083291852	1.00 (0.77–1.31)
cluster_10	-0.08539225512962	0.91815206390007	0.677539379361573	1.2442128651449	0.581808545035284	0.92 (0.68–1.24)
cluster_12	0.0338832570267118	1.03446383329487	0.754200815360318	1.41887333002136	0.833530807891862	1.03 (0.75–1.42)
cluster_13	-0.67450640634215	0.509407799021907	0.357686347428757	0.725485631670716	0.000184856433963562	0.51 (0.36–0.73)
cluster_14	-0.0604757346601947	0.94131661010869	0.760899831501551	1.16451196830724	0.577478645814705	0.94 (0.76–1.16)
cluster_15	6.88911182045039e-05	1.00006889349125	0.744652520962916	1.34309327313568	0.999634678659018	1.00 (0.74–1.34)
cluster_16	0.220569779228536	1.24678692153244	0.881245198266705	1.76395585560273	0.212797954961436	1.25 (0.88–1.76)
cluster_18	-0.152482059444142	0.858574297118359	0.650687140874031	1.13287904027443	0.281040987075447	0.86 (0.65–1.13)
cluster_19	0.139287372787065	1.14945437445258	0.825080422635869	1.60135342289084	0.410288665681883	1.15 (0.83–1.60)
cluster_20	-0.286003926122568	0.751259666403565	0.531288069420622	1.0623070963748	0.10565234070539	0.75 (0.53–1.06)
cluster_21	0.0424428855525664	1.04335646394399	0.770169974583098	1.41344475476724	0.784071363786126	1.04 (0.77–1.41)
cluster_22	-0.00924945942494794	0.990793185243555	0.711178943975476	1.38034336398874	0.95639808652749	0.99 (0.71–1.38)
