coef	HR	CI_lower	CI_upper	p	HR_CI
Age	0.0987405201635045	1.10377985378105	1.08692088508659	1.12090031788823	2.94404948065416e-36	1.10 (1.09–1.12)
BodyMassIndex	0.0872045832847305	1.09111988177524	1.06272761440986	1.1202706886151	9.01028562879671e-11	1.09 (1.06–1.12)
Smoking	0.450399888289813	1.56893946057954	1.13914966673043	2.16088465181997	0.00582124320928008	1.57 (1.14–2.16)
BPTreatment	0.391790672774552	1.47962795256893	1.14108814793655	1.91860627242714	0.00311983025807962	1.48 (1.14–1.92)
PrevalentDiabetes	0.678853748579941	1.97161646831293	1.41228255469505	2.75247434389085	6.66570531834767e-05	1.97 (1.41–2.75)
PrevalentCHD	0.624623656031162	1.86754298662155	1.16008057262611	3.00644359467557	0.0101330722388665	1.87 (1.16–3.01)
SystolicBP	0.00808930052563736	1.00812210731881	1.00209104407249	1.01418946838865	0.008234235267092	1.01 (1.00–1.01)
NonHDLcholesterol	-0.0525658569795511	0.948791834433795	0.838146055317463	1.07404424250052	0.406030424992124	0.95 (0.84–1.07)
Sex	0.324921984663262	1.38392267457562	1.07784031161265	1.77692553207531	0.0108414256531202	1.38 (1.08–1.78)
Observed	-0.000166142712939436	0.999833871087997	0.999563424285366	1.00010439106405	0.228698737459397	1.00 (1.00–1.00)
cluster_5	0.0571202764964478	1.05878314946511	0.727154667799549	1.54165517631015	0.765730974522108	1.06 (0.73–1.54)
cluster_6	-0.289872041963339	0.748359320041596	0.531490324358822	1.05371941167272	0.0968556093714394	0.75 (0.53–1.05)
cluster_7	-0.308076054339835	0.73485942663514	0.538042491239925	1.00367235990981	0.0527510616195118	0.73 (0.54–1.00)
cluster_13	-0.601167203394315	0.548171434984674	0.418618556695908	0.717817968952197	1.24217760957459e-05	0.55 (0.42–0.72)
cluster_16	0.20414328598374	1.22647387738257	0.893422550085727	1.68368055155705	0.206642166105516	1.23 (0.89–1.68)
cluster_18	-0.121937127360401	0.88520402186651	0.685056042127929	1.14382782158181	0.351117087954725	0.89 (0.69–1.14)
cluster_21	0.0630700751243958	1.06510147373453	0.808193323542829	1.40367547751878	0.654261531590953	1.07 (0.81–1.40)
