Variable	Importance
Age	0.304657182090835
PrevalentDiabetes	0.119940471126302
SystolicBP	0.11344062383453
PrevalentCHD	0.0625283702251793
BodyMassIndex	0.0560521905869739
BPTreatment	0.0297103756203955
cluster_12	0.0116974432026216
Observed	0.0110080119575007
cluster_18	0.00888902897661368
cluster_13	0.00825435146286931
cluster_7	0.00809041626906482
cluster_16	0.00255423409568669
NonHDLcholesterol	0.00228301354459686
cluster_5	0.000166871029990833
cluster_6	0.000132582867577209
Sex	-0.000114601765245198
Smoking	-0.000648193388816951
