Variable	Importance
Age	0.251431718978144
PrevalentDiabetes	0.115780999804378
SystolicBP	0.110744254915216
PrevalentCHD	0.0722038351364068
BodyMassIndex	0.0495002540265815
BPTreatment	0.0413395594665226
cluster_8	0.0156088878811779
cluster_11	0.0145710581950592
Observed	0.0137705464954712
cluster_15	0.0123467174447716
cluster_3	0.0115633350452819
cluster_13	0.0109530493151203
disbiosis	0.0108206032579667
cluster_19	0.009891490442019
cluster_1	0.00915847853367897
cluster_9	0.00800681499387479
cluster_18	0.00760750200911718
cluster_12	0.00738937897857474
cluster_7	0.00516506946186405
cluster_4	0.00480237040127213
NonHDLcholesterol	0.00390446012234631
cluster_16	0.0038177337643321
cluster_22	0.00320680614247847
cluster_17	0.00305564123807125
cluster_2	0.00207046648500404
cluster_6	0.00200370202592439
cluster_5	0.00156787408942106
Shannon	0.00139771013434006
cluster_20	0.001289620075192
cluster_14	0.00108349042871315
cluster_21	0.000886638971332859
Smoking	1.51596909292462e-05
Sex	-9.01612910559069e-05
cluster_10	-0.000669725379767173
