Variable	Importance
Age	0.265782606870701
PrevalentDiabetes	0.117698687047885
SystolicBP	0.0994889743120918
PrevalentCHD	0.0646795651131221
BodyMassIndex	0.0525533949112951
BPTreatment	0.0395523973048041
cluster_8	0.0122670891573784
cluster_15	0.0117556961351527
Observed	0.0109839067951682
cluster_19	0.00981739207693398
cluster_12	0.00955008052637593
cluster_13	0.00919751237329817
disbiosis	0.00842988901062524
cluster_9	0.00824605395850733
cluster_18	0.00642505104776906
cluster_7	0.00489546586547008
cluster_22	0.00372722076815697
cluster_16	0.00300906396555236
cluster_4	0.00292532793165583
cluster_20	0.0014132069141777
cluster_5	0.00131821178347894
cluster_10	0.00112910876636447
NonHDLcholesterol	0.000857311569535378
cluster_14	0.000536746361067588
Sex	0.000216076745006294
cluster_6	0.00018822993660065
Smoking	0.000108882369704345
cluster_21	5.88438487754261e-05
Shannon	-0.000923207046402731
