Variable	Importance
Age	0.299711827032702
SystolicBP	0.124007644912753
PrevalentDiabetes	0.118777242924189
PrevalentCHD	0.0608675438412976
BodyMassIndex	0.0512490659015382
BPTreatment	0.02592818639772
Observed	0.0154345441938626
cluster_13	0.0101007802497404
cluster_18	0.00922920925005314
cluster_7	0.00756168192102456
cluster_16	0.00346953320815357
cluster_5	0.0023338306535486
NonHDLcholesterol	0.00179692616051729
cluster_21	0.000726897020046719
Sex	-0.00040779593347965
Smoking	-0.00082601944667314
cluster_6	-0.000983580479467728
