"","DenverFINRISKHacky_Final","Metformin_121_6","PTeam","SB2_Final_Submission","TristanF_Final_Submission","UTK_Bioinformatics_Final_Submission","Yuanfang_Guan_and_Hanrui_Zhang_Final_Submission"
"Simulated_1687",0.00961327136575753,0.0839664429174977,0.906540631601465,0.00234495906976862,0.276682227815715,0.222848733928288,0.464682918625832
"Simulated_1593",0.00130035562888499,0.0865882132792401,0.983667139075328,0.00138395117652945,0.115592157755388,0.175501498427366,0.453825803747304
"Simulated_1738",0.139156534599114,0.126680456654851,0.778563788539187,0.0589935527049887,0.529978340009666,0.222531262651525,0.488202805508411
"Simulated_1617",0.0687534083869481,0.125669933109334,0.717802230125411,0.0495915614988746,0.479296603170538,0.515006365624848,0.531018571035369
"Simulated_2204",0.0284309003363092,0.101721212877368,0.932338155467017,0.0340019750680165,0.336766484327283,0.206684424488409,0.506003625307765
"Simulated_1745",0.0132281254155867,0.123042327444811,0.89905473701099,0.0128104790618204,0.331634579652544,0.101363213013513,0.46342664695515
"Simulated_1619",0.0522962453739374,0.106376378932087,0.962395379308501,0.0357276011968899,0.361944803769475,0.12323291155542,0.462662107110722
"Simulated_1341",0.0467486441627764,0.103786170420412,0.989782602882585,0.010589570829817,0.364966074100765,0.112622434915556,0.480935816016869
"Simulated_1726",0.189025033012929,0.145462313855887,0.883808861673396,0.160905702121983,0.583389439855967,0.244678556454003,0.532418871166512
"Simulated_2218",0.000231127272725904,0.0831368849360891,0.933237960264193,0.00108880669222633,0.128374773381484,0.0919781442206936,0.460941986266917
"Simulated_3632",0.0907158038152127,0.120410849869232,0.971401449314116,0.0401260953734272,0.450093541713665,0.114600498607541,0.465788505803764
"Simulated_1698",0.319109475193725,0.582887360036926,0.97552477471455,0.281063447813783,0.667626179711903,0.283257485438733,0.560924126283393
"Simulated_1331",0.000191242278254863,0.0979638801502204,0.935061635960104,0.00284954814182115,0.130011417315869,0.071834025804641,0.459205936325085
"Simulated_1345",0.0690463417705751,0.46821731983818,0.973043292242694,0.0479996047880477,0.470749073742859,0.211448584406243,0.519836913260725
"Simulated_1703",8.28346185147963e-05,0.0882200030724876,0.971139396208252,0.0012392366056152,0.105708861525527,0.0689930626145151,0.460941986266917
"Simulated_1646",0.154574361979742,0.518353301133785,0.350816910447363,0.104920408982627,0.575626173968325,0.8380153407722,0.510261451635877
"Simulated_1718",4.34850639214564e-05,0.094706633089322,0.978142631761907,0.000659827720279504,0.0433473470839451,0.111394834880178,0.453825803747304
"Simulated_1649",0.119527886181379,0.171487320159849,0.571369361178705,0.0566579123581001,0.473484364407301,0.394608914342857,0.483690175803369
"Simulated_1637",0.00136815596155322,0.0845658229097132,0.813497071957643,0.00197645921819045,0.0343557590343163,0.200942411092172,0.452802062366591
"Simulated_1622",0.0605178037424739,0.12779481101376,0.938103323796027,0.024294399585983,0.436477268633089,0.184061206331715,0.473507277542744
"Simulated_1587",0.0364289775419806,0.500184826953088,0.198919699441132,0.0338975742250526,0.395147608209223,0.472565525187555,0.468806779532931
